Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados
WEB;WiFi;2021-08-19 04:48:13.668;2021-08-19 04:48:15.860;669;93;2192
WEB;WiFi;2021-08-19 04:48:53.510;2021-08-19 04:48:55.735;591;73;2225
WEB;WiFi;2021-08-19 04:49:34.856;2021-08-19 04:49:36.853;1851;106;1997
WEB;WiFi;2021-08-19 04:50:15.534;2021-08-19 04:50:17.586;1621;64;2052
WEB;WiFi;2021-08-19 04:50:57.460;2021-08-19 04:50:59.532;1376;61;2072
WEB;WiFi;2021-08-19 04:51:38.771;2021-08-19 04:51:40.811;1885;80;2040
WEB;WiFi;2021-08-19 04:52:20.132;2021-08-19 04:52:22.049;1780;57;1917
WEB;WiFi;2021-08-19 04:52:59.413;2021-08-19 04:53:01.733;618;72;2320
WEB;WiFi;2021-08-19 04:53:40.926;2021-08-19 04:53:42.869;1628;79;1943
WEB;WiFi;2021-08-19 04:54:20.165;2021-08-19 04:54:22.253;508;79;2088
WEB;WiFi;2021-08-19 04:55:01.745;2021-08-19 04:55:03.706;1977;60;1961
WEB;WiFi;2021-08-19 04:55:41.065;2021-08-19 04:55:43.125;492;70;2060
WEB;WiFi;2021-08-19 04:56:19.956;2021-08-19 04:56:21.984;532;70;2028
WEB;WiFi;2021-08-19 04:56:59.096;2021-08-19 04:57:01.152;626;114;2056
WEB;WiFi;2021-08-19 04:57:40.153;2021-08-19 04:57:42.232;2008;54;2079
WEB;WiFi;2021-08-19 04:58:23.359;2021-08-19 04:58:25.460;1919;66;2101
WEB;WiFi;2021-08-19 04:59:03.877;2021-08-19 04:59:05.921;740;72;2044
WEB;WiFi;2021-08-19 04:59:43.513;2021-08-19 04:59:45.634;553;127;2121
WEB;WiFi;2021-08-19 05:00:23.693;2021-08-19 05:00:25.723;1519;74;2029
WEB;WiFi;2021-08-19 05:01:03.070;2021-08-19 05:01:05.189;517;79;2119
WEB;WiFi;2021-08-19 05:01:41.300;2021-08-19 05:01:43.388;519;65;2088
WEB;WiFi;2021-08-19 05:02:22.491;2021-08-19 05:02:24.997;1931;95;2506
WEB;WiFi;2021-08-19 05:03:02.481;2021-08-19 05:03:04.507;974;105;2025
WEB;WiFi;2021-08-19 05:03:42.235;2021-08-19 05:03:44.101;1643;95;1866
WEB;WiFi;2021-08-19 05:04:59.357;2021-08-19 05:05:01.531;507;87;2174
WEB;WiFi;2021-08-19 05:05:41.862;2021-08-19 05:05:43.956;1904;95;2094
WEB;WiFi;2021-08-19 05:06:21.423;2021-08-19 05:06:25.478;523;63;4054
WEB;WiFi;2021-08-19 05:07:03.526;2021-08-19 05:07:05.796;724;81;2270
WEB;WiFi;2021-08-19 05:07:44.521;2021-08-19 05:07:46.637;1596;90;2116
WEB;WiFi;2021-08-19 05:08:24.633;2021-08-19 05:08:26.782;558;85;2149
WEB;WiFi;2021-08-19 05:09:05.689;2021-08-19 05:09:07.667;1959;80;1978
WEB;WiFi;2021-08-19 05:09:46.330;2021-08-19 05:09:48.463;1580;83;2133
WEB;WiFi;2021-08-19 05:10:26.168;2021-08-19 05:10:28.269;490;72;2101
WEB;WiFi;2021-08-19 05:11:07.745;2021-08-19 05:11:09.882;1744;72;2137
WEB;WiFi;2021-08-19 05:11:47.890;2021-08-19 05:11:49.956;506;84;2066
WEB;WiFi;2021-08-19 05:12:29.791;2021-08-19 05:12:31.898;1847;62;2107
WEB;WiFi;2021-08-19 05:13:09.763;2021-08-19 05:13:11.946;709;65;2183
WEB;WiFi;2021-08-19 05:13:49.623;2021-08-19 05:13:52.080;514;76;2457
WEB;WiFi;2021-08-19 05:14:30.047;2021-08-19 05:14:32.253;666;73;2206
WEB;WiFi;2021-08-19 05:15:09.828;2021-08-19 05:15:11.793;549;106;1965
WEB;WiFi;2021-08-19 05:15:49.268;2021-08-19 05:15:51.476;614;75;2208
WEB;WiFi;2021-08-19 05:16:31.485;2021-08-19 05:16:33.554;1853;73;2069
WEB;WiFi;2021-08-19 05:17:11.363;2021-08-19 05:17:13.599;496;163;2236
WEB;WiFi;2021-08-19 05:17:50.818;2021-08-19 05:17:52.979;500;76;2161
WEB;WiFi;2021-08-19 05:18:31.335;2021-08-19 05:18:33.728;616;90;2393
