Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Facturas;Histograma;En tu banco
WEB;WiFi;2021-08-19 00:20:43.456;2021-08-19 00:20:46.626;1954;3170;75
WEB;WiFi;2021-08-19 00:21:15.704;2021-08-19 00:21:19.112;1954;3408;503
WEB;WiFi;2021-08-19 00:21:47.703;2021-08-19 00:21:51.488;1654;3785;437
WEB;WiFi;2021-08-19 00:22:21.389;2021-08-19 00:22:26.664;1785;5275;507
WEB;WiFi;2021-08-19 00:22:55.606;2021-08-19 00:22:58.683;1906;3077;501
WEB;WiFi;2021-08-19 00:23:28.126;2021-08-19 00:23:31.534;2057;3408;481
WEB;WiFi;2021-08-19 00:24:02.345;2021-08-19 00:24:07.402;2202;5057;88
WEB;WiFi;2021-08-19 00:24:37.537;2021-08-19 00:24:42.453;2045;4916;397
WEB;WiFi;2021-08-19 00:25:13.349;2021-08-19 00:25:17.879;1833;4530;607
WEB;WiFi;2021-08-19 00:25:55.244;2021-08-19 00:25:59.385;2036;4141;496
WEB;WiFi;2021-08-19 00:26:28.257;2021-08-19 00:26:32.461;1784;4204;482
WEB;WiFi;2021-08-19 00:27:01.155;2021-08-19 00:27:06.350;1938;5195;74
WEB;WiFi;2021-08-19 00:27:34.836;2021-08-19 00:27:38.391;2089;3555;456
WEB;WiFi;2021-08-19 00:28:08.610;2021-08-19 00:28:13.523;1369;4913;658
WEB;WiFi;2021-08-19 00:28:42.289;2021-08-19 00:28:48.403;1661;6114;71
WEB;WiFi;2021-08-19 00:29:16.662;2021-08-19 00:29:20.684;1943;4022;70
WEB;WiFi;2021-08-19 00:29:49.017;2021-08-19 00:29:53.242;1370;4225;494
WEB;WiFi;2021-08-19 00:30:21.649;2021-08-19 00:30:25.880;1766;4231;68
WEB;WiFi;2021-08-19 00:30:54.159;2021-08-19 00:31:04.480;1858;10321;840
WEB;WiFi;2021-08-19 00:31:38.589;2021-08-19 00:31:42.995;2258;4406;406
WEB;WiFi;2021-08-19 00:32:14.914;2021-08-19 00:32:18.277;1839;3363;74
WEB;WiFi;2021-08-19 00:32:46.921;2021-08-19 00:32:54.117;2139;7196;69
WEB;WiFi;2021-08-19 00:33:22.658;2021-08-19 00:33:26.856;2151;4198;70
WEB;WiFi;2021-08-19 00:33:55.290;2021-08-19 00:33:59.677;2013;4387;549
WEB;WiFi;2021-08-19 00:34:28.602;2021-08-19 00:34:32.505;1985;3903;69
WEB;WiFi;2021-08-19 00:35:01.132;2021-08-19 00:35:05.206;2003;4074;71
WEB;WiFi;2021-08-19 00:35:33.739;2021-08-19 00:35:38.036;2085;4297;510
WEB;WiFi;2021-08-19 00:36:07.099;2021-08-19 00:36:11.203;2000;4104;68
WEB;WiFi;2021-08-19 00:36:39.488;2021-08-19 00:36:43.478;1889;3990;67
WEB;WiFi;2021-08-19 00:37:11.694;2021-08-19 00:37:16.030;1972;4336;464
WEB;WiFi;2021-08-19 00:37:44.380;2021-08-19 00:37:49.281;1872;4901;80
WEB;WiFi;2021-08-19 00:38:17.586;2021-08-19 00:38:21.685;1761;4099;69
WEB;WiFi;2021-08-19 00:38:49.548;2021-08-19 00:38:53.475;1964;3927;508
WEB;WiFi;2021-08-19 00:39:22.283;2021-08-19 00:39:26.707;2033;4424;462
WEB;WiFi;2021-08-19 00:39:55.275;2021-08-19 00:40:00.502;1761;5227;67
WEB;WiFi;2021-08-19 00:40:28.365;2021-08-19 00:40:32.508;1695;4143;477
WEB;WiFi;2021-08-19 00:41:01.622;2021-08-19 00:41:05.922;2492;4300;424
WEB;WiFi;2021-08-19 00:41:34.587;2021-08-19 00:41:37.950;1682;3363;512
WEB;WiFi;2021-08-19 00:42:06.590;2021-08-19 00:42:10.784;1874;4194;429
WEB;WiFi;2021-08-19 00:42:39.443;2021-08-19 00:42:43.745;1854;4302;472
WEB;WiFi;2021-08-19 00:43:12.610;2021-08-19 00:43:16.813;1613;4203;561
WEB;WiFi;2021-08-19 00:43:45.344;2021-08-19 00:43:49.651;1405;4307;450
WEB;WiFi;2021-08-19 00:44:18.839;2021-08-19 00:44:23.249;2834;4410;70
WEB;WiFi;2021-08-19 00:44:51.126;2021-08-19 00:44:55.049;1925;3923;79
WEB;WiFi;2021-08-19 00:45:23.734;2021-08-19 00:45:27.932;1678;4198;518
WEB;WiFi;2021-08-19 00:45:57.790;2021-08-19 00:46:01.830;2001;4040;65
WEB;WiFi;2021-08-19 00:46:32.397;2021-08-19 00:46:36.816;2351;4419;530
WEB;WiFi;2021-08-19 00:47:05.746;2021-08-19 00:47:09.745;1873;3999;69
WEB;WiFi;2021-08-19 00:47:39.562;2021-08-19 00:47:43.640;2036;4078;713
WEB;WiFi;2021-08-19 07:53:08.780;2021-08-19 07:53:12.953;2141;4173;120
