Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados;Servicios contratados;Servicios contratados
WEB;Ethernet;2021-08-21 00:56:31.465;2021-08-21 00:56:34.546;1245;503;3081;Tiempo final empleado: 2491ms;2491
WEB;Ethernet;2021-08-20 21:28:43.544;2021-08-20 21:28:46.002;1599;185;2458;Tiempo final empleado: 2490ms;2490
WEB;Ethernet;2021-08-21 00:29:47.946;2021-08-21 00:29:51.066;1246;383;3120;Tiempo final empleado: 2485ms;2485
WEB;Ethernet;2021-08-21 01:03:33.368;2021-08-21 01:03:36.732;1325;130;3364;Tiempo final empleado: 2485ms;2485
WEB;Ethernet;2021-08-20 23:13:45.087;2021-08-20 23:13:48.079;1244;382;2992;Tiempo final empleado: 2483ms;2483
WEB;Ethernet;2021-08-20 22:39:33.898;2021-08-20 22:39:37.076;1533;150;3178;Tiempo final empleado: 2480ms;2480
WEB;Ethernet;2021-08-20 21:31:24.038;2021-08-20 21:31:27.000;1318;41;2962;Tiempo final empleado: 2464ms;2464
WEB;Ethernet;2021-08-21 01:09:04.173;2021-08-21 01:09:06.675;1848;375;2502;Tiempo final empleado: 2463ms;2463
WEB;Ethernet;2021-08-20 23:03:35.271;2021-08-20 23:03:38.265;2013;87;2994;Tiempo final empleado: 2462ms;2462
WEB;Ethernet;2021-08-21 00:58:05.818;2021-08-21 00:58:09.090;1517;130;3272;Tiempo final empleado: 2454ms;2454
WEB;Ethernet;2021-08-21 01:18:38.037;2021-08-21 01:18:41.009;1534;389;2972;Tiempo final empleado: 2444ms;2444
WEB;Ethernet;2021-08-20 22:08:43.723;2021-08-20 22:08:46.825;1377;148;3102;Tiempo final empleado: 2437ms;2437
WEB;Ethernet;2021-08-21 01:01:59.525;2021-08-21 01:02:02.883;1119;157;3358;Tiempo final empleado: 2436ms;2436
WEB;Ethernet;2021-08-21 00:08:19.946;2021-08-21 00:08:23.209;1282;179;3263;Tiempo final empleado: 2431ms;2431
WEB;Ethernet;2021-08-21 00:37:38.221;2021-08-21 00:37:41.310;3359;250;3089;Tiempo final empleado: 2431ms;2431
WEB;Ethernet;2021-08-21 00:09:07.499;2021-08-21 00:09:10.696;1594;181;3197;Tiempo final empleado: 2428ms;2428
WEB;Ethernet;2021-08-20 23:22:27.698;2021-08-20 23:22:30.678;1105;418;2980;Tiempo final empleado: 2427ms;2427
WEB;Ethernet;2021-08-21 00:03:35.348;2021-08-21 00:03:38.096;2680;468;2748;Tiempo final empleado: 2423ms;2423
WEB;Ethernet;2021-08-21 00:49:28.477;2021-08-21 00:49:31.424;1348;382;2947;Tiempo final empleado: 2422ms;2422
WEB;Ethernet;2021-08-20 22:45:47.170;2021-08-20 22:45:50.098;1299;152;2928;Tiempo final empleado: 2416ms;2416
WEB;Ethernet;2021-08-20 23:45:22.662;2021-08-20 23:45:26.019;1344;213;3357;Tiempo final empleado: 2415ms;2415
WEB;Ethernet;2021-08-21 01:05:08.531;2021-08-21 01:05:11.518;1386;347;2987;Tiempo final empleado: 2410ms;2410
WEB;Ethernet;2021-08-21 00:31:21.864;2021-08-21 00:31:24.274;2231;461;2410;Tiempo final empleado: 2404ms;2404
WEB;Ethernet;2021-08-21 00:05:56.999;2021-08-21 00:06:00.524;1611;283;3525;Tiempo final empleado: 2403ms;2403
WEB;Ethernet;2021-08-20 23:51:51.509;2021-08-20 23:51:54.663;1441;150;3154;Tiempo final empleado: 2402ms;2402
WEB;Ethernet;2021-08-21 00:52:36.429;2021-08-21 00:52:39.589;1279;164;3160;Tiempo final empleado: 2401ms;2401
WEB;Ethernet;2021-08-21 00:15:26.633;2021-08-21 00:15:29.765;1408;158;3132;Tiempo final empleado: 2400ms;2400
WEB;Ethernet;2021-08-20 21:25:29.759;2021-08-20 21:25:32.695;1163;40;2936;Tiempo final empleado: 2397ms;2397
WEB;Ethernet;2021-08-20 22:45:01.505;2021-08-20 22:45:04.137;1886;318;2632;Tiempo final empleado: 2394ms;2394
WEB;Ethernet;2021-08-20 23:49:23.374;2021-08-20 23:49:26.497;1268;237;3123;Tiempo final empleado: 2391ms;2391
WEB;Ethernet;2021-08-21 00:01:58.328;2021-08-21 00:02:01.293;1189;383;2965;Tiempo final empleado: 2387ms;2387
WEB;Ethernet;2021-08-21 00:43:59.459;2021-08-21 00:44:02.522;1191;143;3063;Tiempo final empleado: 2387ms;2387
WEB;Ethernet;2021-08-20 22:22:08.609;2021-08-20 22:22:11.783;1060;160;3174;Tiempo final empleado: 2384ms;2384
WEB;Ethernet;2021-08-20 22:01:59.389;2021-08-20 22:02:01.117;1557;863;1728;Tiempo final empleado: 2381ms;2381
WEB;Ethernet;2021-08-21 01:11:26.099;2021-08-21 01:11:28.730;1753;180;2631;Tiempo final empleado: 2380ms;2380
WEB;Ethernet;2021-08-21 00:44:45.938;2021-08-21 00:44:49.111;1470;154;3173;Tiempo final empleado: 2379ms;2379
WEB;Ethernet;2021-08-20 22:58:10.575;2021-08-20 22:58:12.640;2062;611;2065;Tiempo final empleado: 2377ms;2377
WEB;Ethernet;2021-08-21 01:04:20.734;2021-08-21 01:04:23.843;1553;214;3109;Tiempo final empleado: 2377ms;2377
WEB;Ethernet;2021-08-20 23:05:55.769;2021-08-20 23:05:58.049;1876;460;2280;Tiempo final empleado: 2376ms;2376
WEB;Ethernet;2021-08-21 00:11:28.823;2021-08-21 00:11:31.451;1265;264;2628;Tiempo final empleado: 2375ms;2375
WEB;Ethernet;2021-08-20 21:56:35.893;2021-08-20 21:56:39.463;1837;398;3570;Tiempo final empleado: 2373ms;2373
WEB;Ethernet;2021-08-21 00:40:03.458;2021-08-21 00:40:06.096;1812;252;2638;Tiempo final empleado: 2369ms;2369
WEB;Ethernet;2021-08-20 22:07:58.896;2021-08-20 22:08:01.638;1248;452;2742;Tiempo final empleado: 2366ms;2366
WEB;Ethernet;2021-08-20 23:16:12.448;2021-08-20 23:16:15.530;1283;173;3082;Tiempo final empleado: 2366ms;2366
WEB;Ethernet;2021-08-21 01:08:16.740;2021-08-21 01:08:19.653;1249;379;2913;Tiempo final empleado: 2362ms;2362
WEB;Ethernet;2021-08-21 01:01:11.600;2021-08-21 01:01:14.712;1238;147;3112;Tiempo final empleado: 2358ms;2358
WEB;Ethernet;2021-08-20 22:00:30.283;2021-08-20 22:00:32.213;1877;566;1930;Tiempo final empleado: 2355ms;2355
WEB;Ethernet;2021-08-20 23:48:36.322;2021-08-20 23:48:39.252;1275;180;2930;Tiempo final empleado: 2355ms;2355
WEB;Ethernet;2021-08-21 00:48:42.184;2021-08-21 00:48:44.074;2516;512;1890;Tiempo final empleado: 2355ms;2355
WEB;Ethernet;2021-08-21 01:13:48.002;2021-08-21 01:13:51.246;1414;142;3244;Tiempo final empleado: 2350ms;2350
WEB;Ethernet;2021-08-20 23:24:47.981;2021-08-20 23:24:50.544;2116;332;2563;Tiempo final empleado: 2347ms;2347
WEB;Ethernet;2021-08-20 23:12:57.456;2021-08-20 23:13:00.580;1314;172;3124;Tiempo final empleado: 2344ms;2344
WEB;Ethernet;2021-08-21 00:36:02.935;2021-08-21 00:36:06.069;1182;162;3134;Tiempo final empleado: 2342ms;2342
WEB;Ethernet;2021-08-20 21:33:21.796;2021-08-20 21:33:24.697;1272;43;2901;Tiempo final empleado: 2337ms;2337
WEB;Ethernet;2021-08-20 22:27:21.701;2021-08-20 22:27:24.280;1358;419;2579;Tiempo final empleado: 2335ms;2335
WEB;Ethernet;2021-08-20 22:32:38.690;2021-08-20 22:32:41.736;1399;168;3046;Tiempo final empleado: 2333ms;2333
WEB;Ethernet;2021-08-21 00:54:10.458;2021-08-21 00:54:13.304;1428;245;2846;Tiempo final empleado: 2323ms;2323
WEB;Ethernet;2021-08-20 22:37:16.047;2021-08-20 22:37:18.892;1223;320;2845;Tiempo final empleado: 2320ms;2320
WEB;Ethernet;2021-08-20 21:46:19.827;2021-08-20 21:46:22.605;1481;74;2778;Tiempo final empleado: 2318ms;2318
WEB;Ethernet;2021-08-21 00:53:23.490;2021-08-21 00:53:26.465;1272;303;2975;Tiempo final empleado: 2318ms;2318
WEB;Ethernet;2021-08-21 01:17:50.861;2021-08-21 01:17:53.837;1117;372;2976;Tiempo final empleado: 2317ms;2317
WEB;Ethernet;2021-08-21 00:35:16.366;2021-08-21 00:35:19.386;1589;172;3020;Tiempo final empleado: 2316ms;2316
WEB;Ethernet;2021-08-20 21:47:45.139;2021-08-20 21:47:48.007;2058;54;2868;Tiempo final empleado: 2315ms;2315
WEB;Ethernet;2021-08-20 22:34:08.951;2021-08-20 22:34:12.021;1136;233;3070;Tiempo final empleado: 2312ms;2312
WEB;Ethernet;2021-08-20 21:50:53.308;2021-08-20 21:50:55.144;2127;335;1836;Tiempo final empleado: 2308ms;2308
WEB;Ethernet;2021-08-20 22:52:46.627;2021-08-20 22:52:48.947;1711;500;2320;Tiempo final empleado: 2308ms;2308
WEB;Ethernet;2021-08-20 23:18:35.275;2021-08-20 23:18:38.353;1392;159;3078;Tiempo final empleado: 2307ms;2307
WEB;Ethernet;2021-08-20 22:20:39.446;2021-08-20 22:20:41.989;2313;528;2543;Tiempo final empleado: 2305ms;2305
WEB;Ethernet;2021-08-20 23:42:06.573;2021-08-20 23:42:09.366;1740;300;2793;Tiempo final empleado: 2305ms;2305
WEB;Ethernet;2021-08-21 00:20:54.076;2021-08-21 00:20:57.199;1280;172;3123;Tiempo final empleado: 2305ms;2305
WEB;Ethernet;2021-08-21 00:54:57.072;2021-08-21 00:55:00.189;1313;151;3117;Tiempo final empleado: 2298ms;2298
WEB;Ethernet;2021-08-21 00:32:08.191;2021-08-21 00:32:11.342;1366;163;3151;Tiempo final empleado: 2297ms;2297
WEB;Ethernet;2021-08-20 22:15:26.975;2021-08-20 22:15:29.935;1265;225;2960;Tiempo final empleado: 2292ms;2292
WEB;Ethernet;2021-08-21 01:16:13.320;2021-08-21 01:16:16.292;1262;338;2972;Tiempo final empleado: 2292ms;2292
WEB;Ethernet;2021-08-21 01:09:50.820;2021-08-21 01:09:53.374;1874;195;2554;Tiempo final empleado: 2290ms;2290
WEB;Ethernet;2021-08-20 23:07:28.535;2021-08-20 23:07:31.561;1447;207;3026;Tiempo final empleado: 2287ms;2287
WEB;Ethernet;2021-08-20 23:00:28.635;2021-08-20 23:00:31.703;1322;158;3068;Tiempo final empleado: 2286ms;2286
WEB;Ethernet;2021-08-21 00:01:12.036;2021-08-21 00:01:14.831;1484;392;2795;Tiempo final empleado: 2281ms;2281
WEB;Ethernet;2021-08-20 22:38:01.469;2021-08-20 22:38:04.490;1063;150;3021;Tiempo final empleado: 2279ms;2279
WEB;Ethernet;2021-08-21 00:38:25.102;2021-08-21 00:38:27.949;1274;345;2847;Tiempo final empleado: 2275ms;2275
WEB;Ethernet;2021-08-21 00:41:38.095;2021-08-21 00:41:41.177;1208;151;3082;Tiempo final empleado: 2272ms;2272
WEB;Ethernet;2021-08-20 23:24:00.275;2021-08-20 23:24:03.371;1220;140;3096;Tiempo final empleado: 2271ms;2271
WEB;Ethernet;2021-08-21 00:29:00.707;2021-08-21 00:29:03.819;1339;175;3112;Tiempo final empleado: 2269ms;2269
WEB;Ethernet;2021-08-21 00:34:29.164;2021-08-21 00:34:32.015;1031;342;2851;Tiempo final empleado: 2267ms;2267
WEB;Ethernet;2021-08-20 23:43:41.219;2021-08-20 23:43:44.041;1440;418;2822;Tiempo final empleado: 2266ms;2266
WEB;Ethernet;2021-08-20 23:59:37.403;2021-08-20 23:59:40.395;1335;171;2992;Tiempo final empleado: 2261ms;2261
WEB;Ethernet;2021-08-20 23:55:43.544;2021-08-20 23:55:46.519;1268;181;2975;Tiempo final empleado: 2260ms;2260
