Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Datos personales CMS;Datos personales CC
WEB;Ethernet;2021-08-22 13:12:44.311;2021-08-22 13:12:50.329;1683;4335
WEB;Ethernet;2021-08-22 13:13:15.812;2021-08-22 13:13:21.753;1796;4145
WEB;Ethernet;2021-08-22 13:13:47.025;2021-08-22 13:13:53.518;2322;4171
WEB;Ethernet;2021-08-22 13:14:19.102;2021-08-22 13:14:25.736;1983;4651
WEB;Ethernet;2021-08-22 13:14:50.953;2021-08-22 13:14:58.122;1834;5335
WEB;Ethernet;2021-08-22 13:15:23.516;2021-08-22 13:15:30.037;1916;4605
WEB;Ethernet;2021-08-22 13:15:55.522;2021-08-22 13:16:01.853;1780;4551
WEB;Ethernet;2021-08-22 13:16:27.318;2021-08-22 13:16:34.063;1978;4767
WEB;Ethernet;2021-08-22 13:16:59.173;2021-08-22 13:17:05.836;2045;4618
WEB;Ethernet;2021-08-22 13:17:32.582;2021-08-22 13:17:43.299;1972;8745
WEB;Ethernet;2021-08-22 13:18:09.304;2021-08-22 13:18:16.548;2465;4779
WEB;Ethernet;2021-08-22 13:18:42.408;2021-08-22 13:18:48.462;1470;4584
WEB;Ethernet;2021-08-22 13:19:14.113;2021-08-22 13:19:20.652;1740;4799
WEB;Ethernet;2021-08-22 13:19:46.299;2021-08-22 13:19:52.760;1905;4556
WEB;Ethernet;2021-08-22 13:20:18.518;2021-08-22 13:20:24.473;1654;4301
WEB;Ethernet;2021-08-22 13:20:50.167;2021-08-22 13:20:56.562;1747;4648
WEB;Ethernet;2021-08-22 13:21:22.072;2021-08-22 13:21:28.600;1888;4640
WEB;Ethernet;2021-08-22 13:21:54.691;2021-08-22 13:22:01.487;1962;4834
WEB;Ethernet;2021-08-22 13:22:27.159;2021-08-22 13:22:33.178;1714;4305
WEB;Ethernet;2021-08-22 13:22:58.487;2021-08-22 13:23:08.127;2005;7635
WEB;Ethernet;2021-08-22 13:23:33.368;2021-08-22 13:23:39.402;1933;4101
WEB;Ethernet;2021-08-22 13:24:05.309;2021-08-22 13:24:11.540;1635;4596
WEB;Ethernet;2021-08-22 13:24:37.180;2021-08-22 13:24:43.406;1587;4639
WEB;Ethernet;2021-08-22 13:25:08.674;2021-08-22 13:25:15.160;2184;4302
WEB;Ethernet;2021-08-22 13:25:41.099;2021-08-22 13:25:47.430;2048;4283
WEB;Ethernet;2021-08-22 13:26:13.043;2021-08-22 13:26:19.812;1748;5021
WEB;Ethernet;2021-08-22 13:26:45.612;2021-08-22 13:26:51.922;1744;4566
WEB;Ethernet;2021-08-22 13:27:17.879;2021-08-22 13:27:23.739;1935;3925
WEB;Ethernet;2021-08-22 13:27:49.483;2021-08-22 13:27:55.776;1751;4542
WEB;Ethernet;2021-08-22 13:28:21.493;2021-08-22 13:28:31.961;2129;8339
WEB;Ethernet;2021-08-22 13:28:57.721;2021-08-22 13:29:04.067;1941;4405
WEB;Ethernet;2021-08-22 13:29:29.755;2021-08-22 13:29:35.991;1939;4297
WEB;Ethernet;2021-08-22 13:30:01.790;2021-08-22 13:30:08.228;1883;4555
WEB;Ethernet;2021-08-22 13:30:34.097;2021-08-22 13:30:40.283;1404;4782
WEB;Ethernet;2021-08-22 13:31:08.732;2021-08-22 13:31:16.536;2185;5619
WEB;Ethernet;2021-08-22 13:31:42.630;2021-08-22 13:31:52.456;2158;7668
WEB;Ethernet;2021-08-22 13:32:21.008;2021-08-22 13:32:38.807;4689;13110
WEB;Ethernet;2021-08-22 13:33:11.601;2021-08-22 13:33:19.665;2460;5604
WEB;Ethernet;2021-08-22 13:33:45.586;2021-08-22 13:33:58.766;3430;9750
WEB;Ethernet;2021-08-22 13:34:27.193;2021-08-22 13:34:34.045;1752;5100
WEB;Ethernet;2021-08-22 13:34:59.539;2021-08-22 13:35:06.104;2017;4547
WEB;Ethernet;2021-08-22 13:35:32.300;2021-08-22 13:35:38.837;2016;4521
WEB;Ethernet;2021-08-22 13:36:06.512;2021-08-22 13:36:13.292;2151;4629
WEB;Ethernet;2021-08-22 13:36:38.880;2021-08-22 13:36:45.405;1890;4635
WEB;Ethernet;2021-08-22 13:37:10.891;2021-08-22 13:37:17.238;1745;4602
WEB;Ethernet;2021-08-22 13:37:43.436;2021-08-22 13:37:49.590;1870;4284
WEB;Ethernet;2021-08-22 13:38:35.582;2021-08-22 13:38:42.495;2105;4808
WEB;Ethernet;2021-08-22 13:39:12.281;2021-08-22 13:39:21.000;2068;6651
WEB;Ethernet;2021-08-22 13:39:47.503;2021-08-22 13:39:53.683;1816;4364
WEB;Ethernet;2021-08-22 13:40:19.500;2021-08-22 13:40:26.197;1798;4899
WEB;Ethernet;2021-08-22 13:40:53.562;2021-08-22 13:41:00.376;2633;4181
WEB;Ethernet;2021-08-22 13:41:27.508;2021-08-22 13:41:35.249;2027;5714
WEB;Ethernet;2021-08-22 13:42:02.961;2021-08-22 13:42:10.369;1899;5509
WEB;Ethernet;2021-08-22 13:42:36.935;2021-08-22 13:42:43.526;1608;4983
WEB;Ethernet;2021-08-22 13:43:13.178;2021-08-22 13:43:19.482;2209;4094
WEB;Ethernet;2021-08-22 13:43:48.933;2021-08-22 13:43:56.537;2486;5118
WEB;Ethernet;2021-08-22 13:44:24.416;2021-08-22 13:44:34.783;1903;8464
WEB;Ethernet;2021-08-22 13:45:02.976;2021-08-22 13:45:09.870;2923;3971
WEB;Ethernet;2021-08-22 13:45:38.609;2021-08-22 13:45:44.941;2273;4059
WEB;Ethernet;2021-08-22 13:46:12.460;2021-08-22 13:46:18.764;1711;4593
WEB;Ethernet;2021-08-22 13:46:47.110;2021-08-22 13:46:53.608;1831;4667
WEB;Ethernet;2021-08-22 13:47:20.929;2021-08-22 13:47:27.821;2164;4728
WEB;Ethernet;2021-08-22 13:47:55.678;2021-08-22 13:48:02.324;1954;4692
WEB;Ethernet;2021-08-22 13:48:28.518;2021-08-22 13:48:35.499;2772;4209
WEB;Ethernet;2021-08-22 13:49:02.891;2021-08-22 13:49:09.393;1686;4816
WEB;Ethernet;2021-08-22 13:49:36.902;2021-08-22 13:49:45.422;2198;6322
WEB;Ethernet;2021-08-22 13:50:11.681;2021-08-22 13:50:18.405;2515;4209
WEB;Ethernet;2021-08-22 13:50:45.100;2021-08-22 13:50:51.238;1853;4285
WEB;Ethernet;2021-08-22 13:51:19.448;2021-08-22 13:51:26.397;1904;5045
WEB;Ethernet;2021-08-22 13:51:53.392;2021-08-22 13:51:59.700;1746;4562
WEB;Ethernet;2021-08-22 13:52:26.283;2021-08-22 13:52:32.527;2039;4205
WEB;Ethernet;2021-08-22 13:52:59.098;2021-08-22 13:53:05.479;2000;4381
WEB;Ethernet;2021-08-22 13:53:32.447;2021-08-22 13:53:39.210;1982;4781
WEB;Ethernet;2021-08-22 13:54:05.842;2021-08-22 13:54:11.795;1751;4202
WEB;Ethernet;2021-08-22 13:54:38.533;2021-08-22 13:54:48.944;2167;8244
WEB;Ethernet;2021-08-22 13:55:15.184;2021-08-22 13:55:21.292;1936;4172
WEB;Ethernet;2021-08-22 13:55:48.260;2021-08-22 13:55:54.884;2136;4488
WEB;Ethernet;2021-08-22 13:56:22.525;2021-08-22 13:56:29.008;1728;4755
WEB;Ethernet;2021-08-22 13:56:56.213;2021-08-22 13:57:03.098;2219;4666
WEB;Ethernet;2021-08-22 13:57:30.195;2021-08-22 13:57:36.991;1946;4850
WEB;Ethernet;2021-08-22 13:58:08.792;2021-08-22 13:58:16.360;2133;5435
WEB;Ethernet;2021-08-22 13:58:43.971;2021-08-22 13:58:50.416;1759;4686
WEB;Ethernet;2021-08-22 13:59:18.628;2021-08-22 13:59:25.265;2230;4407
WEB;Ethernet;2021-08-22 13:59:54.077;2021-08-22 14:00:04.032;1868;8087
WEB;Ethernet;2021-08-22 14:00:31.794;2021-08-22 14:00:38.065;1838;4433
WEB;Ethernet;2021-08-22 14:01:05.363;2021-08-22 14:01:13.212;1825;6024
WEB;Ethernet;2021-08-22 15:15:14.102;2021-08-22 15:15:24.740;2123;8515
WEB;Ethernet;2021-08-22 15:15:52.121;2021-08-22 15:15:58.731;1785;4825
